topico,pais,seed,volume,prompts,eh_categoria,familia,estagio,categoria,marcas,marcas_nucleo,eh_branded,trend,int_informational,int_commercial,int_transactional,int_navigational,int_task
Fried Hamburgers,br,air_fryers,984,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,45;52;53;71;71;72;72;100;97;95;95;95,0.72,0.1,0.05,0.05,0.08
Fry's: Electronics & Burgers,br,air_fryers,2337,21,0,produto e categoria,exploracao de categoria,sem categoria,,,0,55;59;57;73;99;100;100;86;93;90;90;90,0.61,0.1,0.05,0.19,0.05
Frigideiras para ovo na AirFryer,br,air_fryers,23361,55,1,produto e categoria,exploracao de categoria,air fryer,,,0,45;48;47;55;99;99;99;100;100;100;100;100,0.67,0.21,0.06,0.04,0.02
Batata congelada na air fryer,br,air_fryers,4059,23,1,produto e categoria,exploracao de categoria,air fryer,,,0,96;99;99;97;97;99;99;94;99;99;100;100,0.8,0.1,0.05,0.03,0.02
Hambúrguer na AirFryer,br,air_fryers,21734,69,1,produto e categoria,exploracao de categoria,air fryer,,,0,46;45;46;64;94;95;95;99;100;100;100;100,0.78,0.08,0,0.02,0.12
Assadeiras e fritadeiras elétricas,br,air_fryers,1288,16,1,produto e categoria,exploracao de categoria,air fryer,,,0,82;96;100;95;51;54;53;51;52;89;73;70,0.54,0.26,0.11,0.04,0.05
Conserto de Air Fryer,br,air_fryers,4367,29,1,assistencia e conserto,posse,air fryer,,,0,47;58;66;76;98;100;100;95;99;99;98;98,0.7,0.07,0.06,0.05,0.12
Fritadeiras elétricas e panelas de fritar,br,air_fryers,5257,28,1,uso e receita,posse,air fryer,,,0,40;47;27;47;65;66;67;85;90;90;100;100,0.48,0.36,0.1,0.04,0.02
Air Fryers e Fornos Mondial,br,air_fryers,11586,36,1,produto e categoria,exploracao de categoria,coccao,mondial,,1,27;36;37;48;72;73;73;97;100;100;100;99,0.48,0.25,0.13,0.12,0.02
Fritadeiras a ar VestCasa,br,air_fryers,109,17,1,produto e categoria,descoberta,air fryer,,,0,33;74;91;96;100;78;60;73;80;50;46;46,0.29,0.16,0.04,0.48,0.03
Fritadeira Midea no Brasil,br,air_fryers,10012,25,1,produto e categoria,exploracao de categoria,air fryer,midea,midea,1,63;72;74;70;32;33;34;34;100;100;100;100,0.45,0.17,0.13,0.23,0.02
Microwave Appliances & Terminology,br,air_fryers,2996,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,31;37;37;37;97;97;95;100;97;97;98;98,0.61,0.32,0.04,0.01,0.02
Fritadeiras de Batata,br,air_fryers,1744,18,1,produto e categoria,exploracao de categoria,air fryer,,,0,86;100;100;66;61;64;66;96;81;81;83;82,0.5,0.29,0.15,0.03,0.03
Airfryer Philips Walita,br,air_fryers,4994,40,1,produto e categoria,descoberta,air fryer,,,0,85;98;100;69;64;67;69;76;75;75;75;75,0.43,0.19,0.09,0.27,0.02
Cuscuz na Airfryer,br,air_fryers,1109,18,1,produto e categoria,exploracao de categoria,air fryer,,,0,90;100;100;99;56;60;60;63;83;83;83;84,0.83,0.05,0.02,0.05,0.05
Fritadeira a ar Seara,br,air_fryers,678,15,1,produto e categoria,exploracao de categoria,air fryer,,,0,28;51;50;51;57;58;64;100;62;93;93;96,0.57,0.15,0.07,0.18,0.03
Limpeza de Air Fryer,br,air_fryers,32739,76,1,manutencao e limpeza,posse,air fryer,,,0,34;36;43;54;84;84;84;100;100;100;100;100,0.79,0.05,0.01,0.03,0.12
Ovos na Airfryer,br,air_fryers,20718,39,1,produto e categoria,exploracao de categoria,air fryer,,,0,20;24;25;50;59;59;60;98;100;100;100;100,0.78,0.02,0.08,0.02,0.1
Maquinas de Assar Frango,br,air_fryers,19702,66,0,uso e receita,posse,sem categoria,,,0,41;46;51;59;81;82;82;99;100;100;100;100,0.48,0.27,0.15,0.05,0.05
Fritadeiras e air fryers no Magazine Luiza,br,air_fryers,709,19,1,marca e loja,descoberta,air fryer,,,0,90;100;100;95;92;95;91;95;48;48;48;48,0.28,0.1,0.26,0.35,0.01
Fritadeiras Air Fryer 8 Litros,br,air_fryers,4128,25,1,especificacao de produto,escolha,air fryer,,,0,41;50;53;51;48;49;49;100;50;50;50;49,0.48,0.28,0.17,0.02,0.05
Torresmo e panceta na air fryer,br,air_fryers,10228,41,1,produto e categoria,exploracao de categoria,air fryer,,,0,74;65;68;76;74;75;76;91;100;100;100;100,0.77,0.05,0.08,0.02,0.08
Berinjela na Airfryer,br,air_fryers,28013,31,1,produto e categoria,exploracao de categoria,air fryer,,,0,98;100;45;47;47;47;47;62;99;99;99;99,0.75,0.1,0.05,0.02,0.08
Arroz na AirFryer,br,air_fryers,15734,37,1,produto e categoria,exploracao de categoria,air fryer,,,0,14;17;19;29;30;30;30;100;47;47;47;46,0.8,0.05,0.02,0.05,0.08
Couve-Flor na Airfryer,br,air_fryers,5566,20,1,produto e categoria,exploracao de categoria,air fryer,,,0,84;96;99;98;99;100;100;58;83;84;83;82,0.84,0.05,0.06,0.03,0.02
Macarrão na Airfryer,br,air_fryers,2896,17,1,produto e categoria,exploracao de categoria,air fryer,,,0,56;63;61;59;58;60;60;92;99;99;100;100,0.78,0.05,0.02,0.05,0.1
Refrigerators & Fridges,br,air_fryers,17961,29,0,produto e categoria,escolha,sem categoria,,,0,39;44;46;46;54;55;55;78;100;100;100;100,0.51,0.37,0.09,0.01,0.02
Fritadeiras Mallory,br,air_fryers,614,16,1,produto e categoria,descoberta,air fryer,,,0,92;100;100;56;48;54;52;50;55;51;49;49,0.38,0.11,0.22,0.27,0.02
Fried Chicken Recipes,br,air_fryers,10746,21,0,produto e categoria,exploracao de categoria,sem categoria,,,0,50;72;73;78;77;78;78;96;100;100;100;100,0.66,0.05,0.1,0.09,0.1
Papel para Air Fryer,br,air_fryers,11641,34,1,produto e categoria,exploracao de categoria,air fryer,,,0,32;37;39;45;99;100;100;94;93;93;94;94,0.59,0.17,0.12,0.04,0.08
Philco Air Fryer 4 em 1,br,air_fryers,1425,17,1,produto e categoria,exploracao de categoria,air fryer,philco,,1,13;20;27;27;39;38;39;86;83;100;98;87,0.45,0.23,0.18,0.12,0.02
Salsichas na AirFryer,br,air_fryers,2269,22,1,produto e categoria,exploracao de categoria,air fryer,,,0,56;61;55;62;99;100;100;84;89;89;89;89,0.82,0.05,0.05,0.03,0.05
