name,prompts_count,volume,volume_trend,intents
Móveis e Decoração,19,4606,13;14;17;20;19;25;22;38;43;39;38;100,task:2;informational:48;navigational:7;commercial:34;transactional:9
Freezers and Ice Makers,38,6680,21;39;49;45;63;60;42;30;92;100;71;81,task:2;informational:37;navigational:3;commercial:45;transactional:13
Pão de Queijo Congelado,18,1352,7;7;35;32;29;9;7;9;91;100;100;66,task:5;informational:57;navigational:4;commercial:26;transactional:8
Jogo de Jantar e Porcelanas,17,1210,17;11;11;10;34;29;22;100;92;49;40;55,task:8;informational:27;navigational:6;commercial:43;transactional:16
Freezers and Cold Storage Solutions,447,163690,57;55;57;62;100;100;100;66;68;68;67;67,task:2;informational:38;navigational:5;commercial:36;transactional:19
cozinhas de brinquedo para crianças,15,2095,50;32;34;28;73;49;44;100;79;90;69;78,task:7;informational:43;navigational:4;commercial:30;transactional:16
Side by Side Refrigerators,556,120941,92;92;91;95;98;98;98;98;98;99;100;100,task:2;informational:60;navigational:5;commercial:23;transactional:10
Bebidas y Máquinas de Hielo,19,1870,21;34;25;40;43;27;49;13;13;15;63;100,task:7;informational:48;navigational:5;commercial:22;transactional:18
Gelato and Frozen Yogurt Equipment,19,578,27;20;20;25;67;85;25;100;29;29;31;33,task:3;informational:39;navigational:9;commercial:18;transactional:31
Prateleiras de Quarto e Decoração,15,609,18;18;12;12;100;93;59;20;18;32;32;41,task:7;informational:45;navigational:1;commercial:35;transactional:12
frigidaire gccg3048as,15,5219,2;2;21;18;4;12;18;2;2;4;79;100,task:3;informational:47;navigational:39;commercial:8;transactional:3
Limpeza e Organização,16,70,39;52;29;34;32;26;25;24;24;100;70;25,task:17;informational:39;navigational:14;commercial:16;transactional:14
Céu Eletrônico e Eletrônico,16,55,100;93;68;56;82;80;62;43;43;3;3;4,task:3;informational:67;navigational:11;commercial:12;transactional:7
Fridge Parts and Accessories,16,2920,32;31;38;22;23;15;8;62;100;57;45;54,task:3;informational:64;navigational:5;commercial:18;transactional:10
Congelados y alimentos congelados,18,1008,42;30;38;100;100;75;75;70;68;68;68;68,task:8;informational:52;navigational:6;commercial:30;transactional:4
Chłodnik i przepisy na chłodnik,15,92,57;61;67;64;64;64;100;65;64;64;64;64,task:7;informational:68;navigational:5;commercial:5;transactional:15
Fridge Accessories and Parts,16,376,100;51;55;45;61;53;2;60;42;22;16;25,task:7;informational:50;navigational:4;commercial:28;transactional:11
Hieleras y su traducción en inglés,22,9151,31;34;25;94;99;100;100;100;100;100;100;100,task:22;informational:47;navigational:7;commercial:16;transactional:8
Refrigeradores inteligentes con pantalla táctil,22,6840,38;23;29;24;36;31;25;63;84;92;87;100,task:7;informational:54;navigational:2;commercial:24;transactional:13
