name,prompts_count,volume,volume_trend,intents
Ar-condicionado Onix,17,361,58;60;63;77;80;79;78;84;99;98;100;96,task:2;informational:70;navigational:7;commercial:18;transactional:3
Royce Ar Condicionado Automotivo,16,1076,87;100;100;52;64;67;68;57;59;59;62;61,task:5;informational:42;navigational:22;commercial:11;transactional:20
Instalação de Ar Condicionado Split,18,316,41;43;44;86;86;100;84;49;77;77;77;77,task:12;informational:66;navigational:5;commercial:14;transactional:3
Controle de ar condicionado via aplicativo,113,36257,69;71;76;93;96;96;96;94;100;100;100;100,task:35;informational:48;navigational:4;commercial:6;transactional:7
Limpeza e Manutenção de Ar Condicionado (pt),16,359,81;84;84;93;92;91;84;100;96;96;93;94,task:10;informational:57;navigational:7;commercial:5;transactional:21
Ar Condicionado em Patos de Minas e Macaúba,15,191,6;45;51;38;49;45;43;100;61;15;13;17,task:7;informational:37;navigational:29;commercial:22;transactional:5
Koerich Ar Condicionado e Aspiradores,15,439,38;59;60;58;97;74;62;92;75;95;87;100,task:3;informational:25;navigational:38;commercial:12;transactional:22
Paineis Evaporativos,17,376,28;49;54;30;100;81;81;83;82;81;81;81,task:4;informational:65;navigational:3;commercial:22;transactional:6
Komeco Ar Condicionado,39,14673,28;35;35;44;90;91;91;100;97;96;97;97,task:5;informational:43;navigational:23;commercial:11;transactional:18
Ar Condicionado Portátil 14000 BTU Inverter,18,558,59;78;81;80;83;78;75;90;90;97;98;100,task:5;informational:45;navigational:4;commercial:37;transactional:9
Conserto de placas de ar condicionado,15,210,44;54;56;56;50;53;51;97;77;82;88;100,task:4;informational:17;navigational:1;commercial:20;transactional:58
Ar Condicionado Cassete Daikin,18,887,11;21;26;18;35;28;32;100;94;61;52;82,task:7;informational:33;navigational:8;commercial:25;transactional:27
Climatizadores Rotoplast,17,2060,56;79;81;88;94;100;100;95;92;92;92;91,task:2;informational:43;navigational:25;commercial:24;transactional:6
Ar Condicionado 18000 BTU - Compras Online Brasil,16,1149,19;84;95;74;57;51;44;61;48;54;47;100,task:2;informational:38;navigational:13;commercial:16;transactional:31
Ar Condicionado Automotivo Londrina,15,200,82;91;95;89;95;100;99;81;81;81;95;91,task:7;informational:28;navigational:29;commercial:28;transactional:8
Ar Condicionado Cassete 48k BTU,18,1641,38;46;46;31;37;33;30;30;48;56;83;100,task:5;informational:50;navigational:4;commercial:31;transactional:10
Refrigeração e Equipamentos Big Frio,15,137,55;63;68;73;76;79;77;79;100;100;100;100,task:3;informational:29;navigational:41;commercial:13;transactional:14
Ar Condicionado Cassete e Split,49,31411,35;38;39;70;89;90;90;100;88;88;88;88,task:6;informational:48;navigational:3;commercial:38;transactional:5
Elgin Ar Condicionado,18,1297,49;25;49;42;40;26;24;25;27;24;74;100,task:2;informational:51;navigational:16;commercial:15;transactional:16
Climatizadores de ar no Magazine Luiza,15,2124,85;99;100;79;82;83;83;76;77;77;81;80,task:2;informational:26;navigational:31;commercial:17;transactional:24
Ar Condicionado Black Friday,22,2573,76;96;100;67;66;65;66;79;67;70;73;60,task:8;informational:28;navigational:4;commercial:45;transactional:15
Ventiladores Ventisol e similares,17,817,41;59;60;55;54;52;63;81;57;58;80;100,task:3;informational:46;navigational:19;commercial:14;transactional:18
Ar Condicionado Split LG e Multisplit,19,1804,82;100;100;94;91;94;95;89;56;61;60;70,task:4;informational:45;navigational:4;commercial:33;transactional:14
Ar condicionado 9000 BTU (split/inverter),485,263219,40;42;43;59;49;49;49;100;52;52;52;52,task:2;informational:65;navigational:2;commercial:26;transactional:5
Troca de filtro de ar condicionado,18,1266,26;30;32;24;62;65;62;100;100;100;100;100,task:32;informational:58;navigational:3;commercial:5;transactional:2
Refrigeração e Ar Condicionado em Caruaru,15,166,13;77;83;58;64;59;49;100;68;30;35;30,task:2;informational:29;navigational:36;commercial:30;transactional:3
Suportes para ar condicionado de janela,16,1983,43;50;49;48;45;57;49;93;97;100;92;93,task:4;informational:62;navigational:3;commercial:21;transactional:10
Ar condicionado para Fiat Uno,22,781,90;100;99;96;81;83;85;99;86;85;84;84,task:1;informational:71;navigational:5;commercial:16;transactional:7
Ar Condicionado Janela 12000 BTU,20,5007,89;97;100;99;94;95;95;44;47;47;46;46,task:2;informational:43;navigational:4;commercial:41;transactional:10
Ar Condicionado Agratto 30000 BTUs,17,361,17;100;97;43;43;31;47;41;30;42;41;43,task:3;informational:18;navigational:38;commercial:26;transactional:15
Manômetros e manifolds de ar condicionado,18,253,68;78;79;78;76;82;88;96;100;83;84;83,task:2;informational:59;navigational:6;commercial:19;transactional:14
Umidificadores de ar,190,322698,30;31;33;93;98;98;98;100;98;98;98;98,task:6;informational:58;navigational:5;commercial:23;transactional:8
Ar Condicionado Agratto 24000 BTU,15,1893,7;8;8;8;8;30;17;65;48;30;28;100,task:3;informational:51;navigational:11;commercial:24;transactional:11
Ar condicionado 30000 BTU,17,703,84;100;100;54;49;51;51;87;100;50;48;49,task:2;informational:28;navigational:10;commercial:21;transactional:39
Ar Condicionado Split Portátil Max,23,5201,41;47;29;44;70;71;71;100;95;95;94;94,task:3;informational:48;navigational:15;commercial:30;transactional:4
York ar condicionado,43,11424,14;19;25;45;95;96;98;99;99;99;100;100,task:2;informational:62;navigational:10;commercial:21;transactional:5
Refrigeração Industrial,25,4794,74;78;82;79;100;100;100;98;98;98;98;98,task:2;informational:79;navigational:7;commercial:8;transactional:4
Ventiladores móveis e de cabeceira,15,57,7;74;100;84;84;57;35;56;35;15;13;17,task:3;informational:50;navigational:12;commercial:18;transactional:17
Climatizadores Midea,38,13399,53;57;54;33;100;100;100;53;52;52;52;52,task:2;informational:52;navigational:10;commercial:21;transactional:15
Ar Condicionado e Refrigeração em Foz do Iguaçu,15,106,14;79;43;56;56;57;49;100;64;26;24;16,task:5;informational:41;navigational:5;commercial:43;transactional:6
Refrigeração Amaral,15,196,28;30;33;57;57;33;32;100;96;42;42;41,task:3;informational:33;navigational:41;commercial:19;transactional:4
