name,prompts_count,volume,volume_trend,intents
Aspiradores Nasais Elétricos,26,5457,32;42;42;50;82;84;84;100;88;89;89;89,task:5;informational:37;navigational:4;commercial:40;transactional:14
Mops e Vassouras,16,427,44;60;57;46;79;61;52;73;69;46;63;100,task:3;informational:44;navigational:13;commercial:23;transactional:17
Purificadores de Ar Verdes,16,285,8;41;39;32;99;26;21;17;98;100;42;47,task:10;informational:43;navigational:4;commercial:32;transactional:11
Aspiradores Electrolux A10,26,3857,67;77;78;37;54;56;56;89;96;98;99;100,task:8;informational:53;navigational:4;commercial:29;transactional:6
Aspiradores de Pó e Água WAP GTW 15 1700W,18,289,24;32;35;28;36;60;47;100;85;68;60;61,task:3;informational:42;navigational:4;commercial:39;transactional:12
Coletor de Pó Industrial,18,727,69;77;78;75;74;90;90;93;98;99;100;100,task:7;informational:48;navigational:5;commercial:25;transactional:15
Aspiradores Electrolux erg25,22,396,74;86;87;76;90;98;95;94;96;98;100;99,task:3;informational:34;navigational:38;commercial:12;transactional:13
Aspiradores Britânia Dust Off,19,238,26;55;62;51;51;54;65;87;87;100;27;30,task:3;informational:42;navigational:24;commercial:19;transactional:12
Robôs aspiradores WAP/Wsmart,17,793,28;44;47;36;35;33;24;23;23;100;92;95,task:5;informational:60;navigational:5;commercial:20;transactional:10
Aspiradores Cirúrgicos Hospitalares,18,559,35;39;41;26;94;96;100;64;40;35;36;35,task:5;informational:50;navigational:4;commercial:32;transactional:9
Havan: Aspiradores e Lavadoras,16,1723,62;93;96;91;85;90;92;94;99;99;100;100,task:3;informational:28;navigational:33;commercial:13;transactional:23
Lixadeiras com Coletor de Pó,15,181,31;38;39;38;37;100;70;39;42;40;39;40,task:10;informational:51;navigational:5;commercial:27;transactional:7
Aspiradores de Pó Ergorápidos,23,1816,78;99;100;61;53;47;47;54;51;51;52;62,task:5;informational:51;navigational:4;commercial:28;transactional:12
Narwal Robôs Aspiradores,17,1810,100;90;91;88;85;86;89;89;87;87;93;89,task:2;informational:45;navigational:29;commercial:16;transactional:8
Bicos de extratora e aspirador,22,2412,63;92;95;90;91;97;98;99;100;100;100;98,task:7;informational:50;navigational:4;commercial:24;transactional:15
Robô Aspirador Smart 100,18,569,71;91;100;69;65;69;61;66;54;46;43;41,task:5;informational:49;navigational:15;commercial:18;transactional:13
Mops e acessórios de limpeza,19,3170,82;91;91;44;92;95;96;100;95;94;94;93,task:2;informational:51;navigational:10;commercial:28;transactional:9
Espanadores de Pó,19,13597,29;33;34;67;17;17;17;100;68;68;68;68,task:5;informational:51;navigational:2;commercial:32;transactional:10
Aspiradores Electrolux Erg28,15,358,9;16;14;10;23;24;17;100;77;40;36;38,task:3;informational:54;navigational:5;commercial:21;transactional:17
Aspiradores de Pó Philco Ciclone Force,16,342,21;100;100;81;28;29;28;25;41;48;28;29,task:3;informational:40;navigational:15;commercial:23;transactional:19
Mops e Limpeza Profissional,37,7227,23;25;26;100;47;47;47;47;48;48;48;48,task:5;informational:36;navigational:2;commercial:50;transactional:7
Desumidificadores de ar,46,67269,11;13;14;85;98;98;98;100;100;100;100;100,task:2;informational:52;navigational:1;commercial:38;transactional:7
Bruxas da Limpeza,18,242,22;32;34;68;56;41;50;100;72;38;39;35,task:10;informational:60;navigational:8;commercial:17;transactional:5
Máquinas de limpeza e extratoras WAP,19,658,74;85;89;87;94;96;100;57;61;61;57;59,task:2;informational:60;navigational:15;commercial:12;transactional:11
