name,prompts_count,volume,volume_trend,intents
Conair Infiniti Pro Hair Tools,15,99,86;92;100;86;86;90;93;88;96;87;87;87,task:7;informational:36;navigational:20;commercial:21;transactional:16
Air Conditioner Cleaning,16,1299,57;58;59;58;69;72;40;40;40;51;48;100,task:2;informational:66;navigational:9;commercial:12;transactional:11
Pipoqueiras para Micro-ondas,19,1778,43;49;50;31;98;100;100;28;28;28;28;28,task:8;informational:36;navigational:5;commercial:25;transactional:26
Churrasqueiras Giratórias,16,159,66;75;85;79;100;77;77;79;81;96;90;97,task:3;informational:57;navigational:4;commercial:25;transactional:11
Máquinas para Gastronomia,17,613,63;86;86;79;81;90;89;91;100;100;94;93,task:4;informational:33;navigational:23;commercial:17;transactional:23
Industrial & Shop Fans,17,131,35;39;43;43;44;51;50;49;50;100;42;45,task:10;informational:39;navigational:15;commercial:25;transactional:11
torradeiras Oster,16,1065,56;75;80;73;65;69;70;72;99;100;91;85,task:10;informational:43;navigational:7;commercial:20;transactional:20
Mastercool Refrigeration & HVAC,15,639,31;51;56;54;49;48;48;44;43;47;47;100,task:3;informational:18;navigational:58;commercial:8;transactional:13
Ninja Foodi Panelas Elétricas,19,3764,44;50;51;30;98;100;100;92;100;100;100;100,task:2;informational:41;navigational:16;commercial:24;transactional:17
Ultrasonic Technology,18,3972,79;94;94;100;84;82;82;82;83;82;83;82,task:2;informational:80;navigational:5;commercial:10;transactional:3
Saeco Philips Coffee Machines,15,39,27;34;38;37;37;39;100;58;36;33;36;35,task:3;informational:41;navigational:11;commercial:37;transactional:8
Misturadores e processadores de alimentos,85,43776,31;33;33;100;48;48;48;46;46;46;46;46,task:5;informational:39;navigational:1;commercial:39;transactional:16
Kettle Corn Recipes,15,277,84;99;100;92;90;94;96;79;81;81;81;81,task:10;informational:68;navigational:2;commercial:5;transactional:15
Home and Outdoor Saunas,15,274,91;98;100;98;95;96;96;96;95;94;95;95,task:2;informational:47;navigational:4;commercial:33;transactional:14
Forno elétrico embutido Itatiaia,16,1046,12;48;60;43;43;38;27;48;35;100;86;95,informational:33;navigational:24;commercial:29;transactional:14
Roomba i3 Series,15,30,20;20;22;94;94;100;64;24;24;21;21;20,task:3;informational:52;navigational:5;commercial:18;transactional:22
Apple iPad family devices,523,644101,24;24;26;55;95;95;95;92;100;100;100;100,task:5;informational:50;navigational:5;commercial:24;transactional:16
Sanduicheiras domésticas,15,392,16;22;27;24;38;36;23;60;53;100;98;89,task:7;informational:31;navigational:26;commercial:17;transactional:19
Hot Pack Packaging,17,742,12;13;13;13;13;13;13;100;72;27;26;47,task:10;informational:71;navigational:4;commercial:12;transactional:3
Mix de Eletrodomésticos,15,366,7;100;93;83;83;61;43;56;36;57;54;57,task:3;informational:42;navigational:4;commercial:43;transactional:8
Eletrodomésticos Gorenje,16,864,47;98;100;88;66;68;67;82;82;88;75;83,task:3;informational:27;navigational:42;commercial:16;transactional:12
RedMagic 10 Air smartphones,17,15109,10;12;12;15;16;28;16;100;63;71;54;54,task:2;informational:70;navigational:5;commercial:15;transactional:8
Smart Press Shopping,17,483,35;41;40;35;33;25;25;100;81;43;43;42,task:3;informational:47;navigational:34;commercial:13;transactional:3
Micro-ondas Brastemp,23,1225,83;99;100;49;47;49;50;54;56;56;55;55,task:2;informational:47;navigational:25;commercial:18;transactional:8
Samsung RS65R Refrigerator Model,15,2313,2;23;39;20;20;14;14;95;69;100;40;68,task:3;informational:53;navigational:18;commercial:12;transactional:14
Cuisinart Mandoline Slicers,15,26,20;40;38;61;26;27;100;25;25;24;24;22,task:10;informational:45;navigational:5;commercial:18;transactional:22
Sanduicheiras nas Lojas Americanas,16,216,24;37;43;37;36;32;27;100;72;26;25;25,task:3;informational:31;navigational:40;commercial:10;transactional:16
Churrasqueiras e Sanduicheiras Havan,17,1296,35;48;50;50;50;54;54;56;56;56;77;100,task:3;informational:18;navigational:54;commercial:11;transactional:14
Panelas Elétricas Multicook,20,3898,33;39;41;30;98;100;100;83;62;62;61;60,task:7;informational:55;navigational:11;commercial:16;transactional:11
Fondue em casa,46,12222,87;93;96;44;55;56;56;100;61;61;61;61,task:2;informational:60;navigational:5;commercial:21;transactional:12
Churrasqueiras Automatizadas,17,120,64;92;100;86;86;91;87;99;89;75;75;75,task:3;informational:54;navigational:4;commercial:28;transactional:11
Hollyland gear,15,72,31;83;100;85;85;68;50;61;58;50;51;58,informational:53;navigational:18;commercial:26;transactional:3
Air Apps,15,669,35;45;58;35;57;58;48;44;80;100;52;55,task:8;informational:65;navigational:10;commercial:15;transactional:2
Churrasqueiras Brastemp,15,57,15;72;100;60;63;65;46;20;91;50;47;41,task:7;informational:53;navigational:18;commercial:12;transactional:10
Tostex Sanduicheiras,17,4325,33;41;44;38;95;96;95;100;97;96;96;95,task:4;informational:39;navigational:24;commercial:28;transactional:5
Eletrodomésticos Croydon,19,593,72;97;97;93;93;99;100;96;98;98;85;83,task:3;informational:19;navigational:47;commercial:16;transactional:15
Wireless Headsets,15,79,7;61;57;84;84;26;24;53;100;61;84;16,task:7;informational:40;navigational:6;commercial:27;transactional:20
Lancheiras Térmicas para Adultos e Crianças,15,1651,51;60;61;63;100;98;99;60;60;61;61;61,task:2;informational:34;navigational:2;commercial:34;transactional:28
Smart Start Heating Systems,16,304,81;83;86;86;86;94;94;100;97;90;90;90,task:5;informational:64;navigational:10;commercial:12;transactional:9
Micro-ondas de Embutir Fischer,31,4759,85;99;100;54;62;63;64;59;62;62;61;61,task:5;informational:36;navigational:19;commercial:26;transactional:14
Forno Salamandra e Gratinadores,19,1187,23;25;25;52;82;82;82;100;67;64;64;65,task:2;informational:62;navigational:5;commercial:23;transactional:8
Máquinas de hambúrguer,20,1340,72;42;43;48;97;95;100;74;63;62;58;58,task:8;informational:42;navigational:4;commercial:28;transactional:18
Assadeiras e formas de inox,18,1355,81;87;88;90;89;94;96;95;94;94;94;100,task:5;informational:42;navigational:4;commercial:30;transactional:19
Josper: grelhadores e fornos,19,1765,24;25;25;31;31;31;31;100;100;100;100;100,task:2;informational:50;navigational:17;commercial:20;transactional:11
Frigo: Equipamentos de Cozinha Industrial,15,961,35;59;64;65;61;65;65;67;68;82;100;97,task:7;informational:18;navigational:30;commercial:30;transactional:15
HVAC Systems: Heating and Cooling Solutions,23,10205,40;93;91;100;91;93;93;71;73;72;73;72,task:8;informational:54;navigational:4;commercial:20;transactional:14
Yamaha AG03 Mixer,17,422,27;28;29;32;32;36;34;51;100;96;95;95,task:2;informational:48;navigational:10;commercial:18;transactional:22
Panelas elétricas com divisórias,16,1227,84;93;57;69;65;67;67;100;75;76;65;65,task:8;informational:61;navigational:5;commercial:17;transactional:9
Forno Ooni e pizzas,18,1182,71;85;84;83;76;78;78;78;100;100;100;100,task:5;informational:64;navigational:12;commercial:16;transactional:3
Infrared Thermometers,17,879,41;44;44;42;27;29;38;100;100;95;95;96,informational:60;navigational:4;commercial:26;transactional:10
Frigideiras para Indução com Revestimento Cerâmico,35,8296,29;37;39;43;90;92;92;96;100;100;100;100,task:5;informational:46;navigational:4;commercial:36;transactional:9
Churrasqueiras a gás,32,8156,96;100;47;46;57;58;58;44;45;44;44;44,task:2;informational:36;navigational:4;commercial:40;transactional:18
Mini Cookies,16,314,77;96;99;100;95;97;100;100;100;89;92;88,task:10;informational:59;navigational:5;commercial:15;transactional:11
Sanduicheiras Electrolux,18,1867,47;64;62;52;52;61;61;63;66;66;100;96,task:5;informational:27;navigational:39;commercial:11;transactional:18
Electronic Gaming,16,379,22;58;100;49;54;55;31;50;50;100;85;55,task:10;informational:41;navigational:4;commercial:37;transactional:8
Fogões com forno duplo,23,8943,93;97;100;49;51;52;52;43;48;48;48;48,task:2;informational:44;navigational:4;commercial:37;transactional:13
Churrasqueiras e grills elétricos,19,35444,29;31;14;100;46;46;46;62;62;62;62;62,task:2;informational:50;navigational:4;commercial:36;transactional:8
Termostatos de fritadeira,20,1239,50;53;54;49;58;59;57;98;98;96;96;100,task:5;informational:58;navigational:5;commercial:20;transactional:12
Modern Kitchen Design,17,727,37;53;61;40;40;41;40;100;91;91;91;91,task:2;informational:54;navigational:7;commercial:31;transactional:6
RC Aircraft & Remote Control Planes,19,767,71;96;100;98;97;97;99;92;92;91;92;91,task:5;informational:48;navigational:4;commercial:29;transactional:14
Frigideiras Hercules,19,661,85;91;91;90;57;94;71;100;95;73;73;82,task:2;informational:45;navigational:14;commercial:30;transactional:9
AirPods USA Shopping,17,656,71;99;100;82;84;92;87;100;88;87;91;93,task:3;informational:20;navigational:31;commercial:20;transactional:26
Tortilla Chip Recipes,15,698,96;99;100;99;99;100;100;99;100;99;99;99,task:12;informational:68;navigational:5;commercial:5;transactional:10
Corsair Headsets,15,491,3;19;4;9;9;8;17;32;100;64;40;22,task:7;informational:56;navigational:12;commercial:18;transactional:7
Pan e Spa,15,5310,56;73;92;92;93;95;95;99;100;100;100;99,task:7;informational:18;navigational:60;commercial:10;transactional:5
Micro-ondas Samsung,18,1808,44;67;68;41;43;33;34;100;43;51;55;61,task:2;informational:68;navigational:10;commercial:15;transactional:5
Cereal Bowls,15,168,19;20;21;62;64;32;30;30;28;89;83;100,task:3;informational:56;navigational:4;commercial:29;transactional:8
Forno elétrico Hamilton Beach,18,218,20;42;57;43;42;43;32;100;93;20;20;20,task:3;informational:46;navigational:12;commercial:18;transactional:21
